epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.043,2.72924,2.70176,1.07124,0.37568,0.22342,0.19053,0.06085,2.79281,1.89187,0.99363,0.00331691,0.00331691,0.00331691
2,205.871,2.68972,1.92869,1.01979,0.43774,0.2925,0.28085,0.09772,2.52674,1.74024,0.9763,0.00660635,0.00660635,0.00660635
3,306.644,2.74454,1.867,1.02872,0.32296,0.24105,0.19339,0.06279,2.70671,2.07539,1.01782,0.0098518,0.0098518,0.0098518
4,405.608,2.7751,1.86278,1.04029,0.33481,0.23867,0.19578,0.06373,2.72709,1.79712,1.02502,0.009802,0.009802,0.009802
5,503.265,2.68977,1.75997,1.02879,0.39086,0.30603,0.2552,0.08095,2.58962,3.00871,0.98806,0.009736,0.009736,0.009736
6,601.17,2.66593,1.72878,1.01373,0.39888,0.2847,0.26563,0.09135,2.5163,1.59803,0.97619,0.00967,0.00967,0.00967
7,699.348,2.61909,1.68737,1.00571,0.4673,0.32493,0.31634,0.11182,2.45435,1.52648,0.97146,0.009604,0.009604,0.009604
8,795.582,2.56312,1.62587,1.00202,0.48047,0.32394,0.33319,0.1187,2.41715,1.44504,0.95818,0.009538,0.009538,0.009538
9,893.742,2.52572,1.60739,0.99247,0.49024,0.31497,0.31977,0.11057,2.44581,1.49364,0.95826,0.009472,0.009472,0.009472
10,992.435,2.49865,1.56094,0.99445,0.51143,0.33825,0.34928,0.12261,2.39266,1.40512,0.95566,0.009406,0.009406,0.009406
11,1092.57,2.47755,1.54637,0.98053,0.47192,0.32028,0.31912,0.11609,2.46599,1.53437,0.96304,0.00934,0.00934,0.00934
12,1191.08,2.46831,1.54098,0.986,0.52461,0.35121,0.36298,0.1291,2.36836,1.38376,0.95381,0.009274,0.009274,0.009274
13,1289.7,2.44741,1.5102,0.98239,0.51032,0.35228,0.35762,0.13153,2.32848,1.40808,0.94121,0.009208,0.009208,0.009208
14,1388.84,2.42445,1.49897,0.97499,0.55588,0.34596,0.36656,0.13622,2.31218,1.5612,0.94225,0.009142,0.009142,0.009142
15,1487.6,2.40986,1.47957,0.97112,0.51653,0.35622,0.37596,0.14254,2.27872,1.3397,0.93801,0.009076,0.009076,0.009076
16,1586.39,2.40925,1.47202,0.96581,0.55061,0.36424,0.39435,0.14774,2.2598,1.31111,0.93754,0.00901,0.00901,0.00901
17,1684.32,2.39321,1.45673,0.97651,0.54118,0.36824,0.38832,0.14605,2.28551,1.3669,0.93768,0.008944,0.008944,0.008944
18,1783.04,2.37971,1.45186,0.97269,0.5231,0.3754,0.37594,0.13675,2.27021,1.61333,0.93576,0.008878,0.008878,0.008878
19,1879.92,2.37336,1.4507,0.96741,0.55255,0.37576,0.40046,0.14962,2.27289,1.30536,0.9363,0.008812,0.008812,0.008812
20,1979.21,2.34529,1.42929,0.96297,0.55056,0.37488,0.40256,0.15325,2.23391,1.30162,0.92923,0.008746,0.008746,0.008746
21,2078.14,2.34453,1.42624,0.95983,0.5295,0.36731,0.38681,0.14069,2.3071,1.32941,0.93709,0.00868,0.00868,0.00868
22,2176.17,2.32492,1.40372,0.96654,0.55817,0.38857,0.41233,0.15679,2.236,1.30394,0.92975,0.008614,0.008614,0.008614
23,2274.83,2.32252,1.40472,0.9623,0.51558,0.37376,0.38322,0.13652,2.36273,1.35776,0.93992,0.008548,0.008548,0.008548
24,2372.98,2.34626,1.41633,0.96176,0.57053,0.3666,0.40255,0.15461,2.24762,1.30128,0.93399,0.008482,0.008482,0.008482
25,2471.5,2.33523,1.40762,0.95989,0.56653,0.36431,0.40065,0.15225,2.27331,1.29742,0.93995,0.008416,0.008416,0.008416
26,2570.45,2.31615,1.39455,0.95528,0.57017,0.39938,0.42085,0.15764,2.20953,1.2894,0.92508,0.00835,0.00835,0.00835
27,2671.46,2.2999,1.38435,0.95573,0.54912,0.38593,0.40766,0.15456,2.2393,1.33365,0.9279,0.008284,0.008284,0.008284
